"kappa","mut","rho","CO2","pd","k","H2O","alphat","N2","O2","dQ","aC3H6O","p","T","epsilon","U:0","U:1","U:2","flux","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00605981,0.00414671,1.23782,0,100002,13.6314,0,0.00414671,0.746947,0.226924,0,0.0261294,100000,284.06,4997.06,17.7313,0,0,0.57828,57,1,0,0.098,0,0
0.00603755,0.00416323,1.23632,0,100001,13.6592,0,0.00416323,0.747261,0.227019,0,0.0257206,100000,284.345,4990.28,17.5914,0.0653685,0,0.567658,187,1,0.00075,0.098,0.00075,0
0.00607355,0.004189,1.23384,0,100001,13.8565,0,0.004189,0.747839,0.227194,0,0.0249672,100000,284.807,5093.25,17.2221,0.118271,0,0.538337,447,1,0.0015,0.098,0.0015,0
0.00617032,0.00422219,1.2307,0,100001,14.2257,0,0.00422219,0.748616,0.22743,0,0.0239539,100000,285.388,5313.02,16.6624,0.165409,0,0.495063,707,1,0.00225,0.098,0.00225,0
0.00625843,0.00426427,1.22704,0,100001,14.617,0,0.00426427,0.749549,0.227712,0,0.0227391,100000,286.061,5537.66,15.9538,0.202511,0,0.443919,967,1,0.003,0.098,0.003,0
0.00629722,0.00430337,1.22303,0,100001,14.8916,0,0.00430337,0.750595,0.22803,0,0.0213751,100000,286.8,5676.82,15.1403,0.228688,0,0.389353,1227,1,0.00375,0.098,0.00375,0
0.00627328,0.00432661,1.21884,0,100001,14.9662,0,0.00432661,0.751711,0.228368,0,0.0199214,100000,287.575,5683.36,14.2598,0.24402,0,0.334987,1487,1,0.0045,0.098,0.0045,0
0.00618266,0.0043226,1.21444,0,100001,14.7887,0,0.0043226,0.752891,0.228725,0,0.0183837,100000,288.39,5534.37,13.3302,0.248549,0,0.307467,1617,1,0.00525,0.098,0.00525,0
0.0060386,0.00428669,1.2101,0,100001,14.3746,0,0.00428669,0.754071,0.229083,0,0.0168463,100000,289.2,5254.12,12.403,0.243597,0,0.248745,1877,1,0.006,0.098,0.006,0
0.0058518,0.00421749,1.20577,0,100001,13.7535,0,0.00421749,0.755251,0.22944,0,0.0153089,100000,290.01,4871.86,11.4858,0.230731,0,0.217916,2007,1,0.00675,0.098,0.00675,0
0.00563276,0.00411532,1.20155,0,100001,12.9627,0,0.00411532,0.756412,0.229792,0,0.0137959,100000,290.808,4419.89,10.5907,0.211142,0,0.187009,2137,1,0.0075,0.098,0.0075,0
0.00538869,0.00397947,1.19747,0,100000,12.0325,0,0.00397947,0.757539,0.230134,0,0.0123271,100000,291.58,3925.36,9.72732,0.185621,0,0.156477,2267,1,0.00825,0.098,0.00825,0
0.00512643,0.00381058,1.19361,0,100000,10.9989,0,0.00381058,0.758618,0.23046,0,0.0109221,100000,292.316,3415.4,8.90308,0.155261,0,0.127239,2397,1,0.009,0.098,0.009,0
0.00485152,0.0036104,1.18997,0,100000,9.8991,0,0.0036104,0.759641,0.23077,0,0.00958899,100000,293.012,2913.22,8.12242,0.121236,0,0.0999745,2527,1,0.00975,0.098,0.00975,0
0.00456748,0.00338162,1.18656,0,100000,8.76604,0,0.00338162,0.760608,0.231063,0,0.00832795,100000,293.669,2434.88,7.38658,0.084813,0,0.0752878,2657,1,0.0105,0.098,0.0105,0
0.00427546,0.00312776,1.18334,0,100000,7.62406,0,0.00312776,0.761523,0.23134,0,0.00713626,100000,294.289,1988.14,6.69381,0.0467043,0,0.0536334,2787,1,0.01125,0.098,0.01125,0
0.0039771,0.00285317,1.18031,0,100000,6.48859,0,0.00285317,0.762389,0.231603,0,0.00600827,100000,294.875,1574.2,6.04026,0.00746846,0,0.0354938,2917,1,0.012,0.098,0.012,0
0.00367205,0.00255209,1.17757,0,100000,5.39393,0,0.00255209,0.763178,0.231842,0,0.00498064,100000,295.408,1216.87,5.44755,-0.0325616,0,0.0354938,2917,1,0.01275,0.098,0.01275,0
0.00336611,0.00223515,1.17509,0,100000,4.37241,0,0.00223515,0.763894,0.232059,0,0.00404671,100000,295.893,913.742,4.91087,-0.0710862,0,0.0213782,3047,1,0.0135,0.098,0.0135,0
0.0030597,0.00190959,1.17275,0,100000,3.39066,0,0.00190959,0.764572,0.232264,0,0.00316374,100000,296.351,640.086,4.40466,-0.108792,0,0.0213782,3047,1,0.01425,0.098,0.01425,0
0.00275465,0.00157266,1.17085,0,100000,2.58366,0,0.00157266,0.765126,0.232432,0,0.00244225,100000,296.725,455.017,3.99645,-0.14141,0,0.0112638,3177,1,0.015,0.098,0.015,0
0.00245117,0.0012395,1.16904,0,100000,1.82155,0,0.0012395,0.765651,0.232591,0,0.00175753,100000,297.081,285.563,3.61005,-0.172292,0,0.00463614,3307,1,0.01575,0.098,0.01575,0
0.00215461,0.000923056,1.16765,0,100000,1.25471,0,0.000923056,0.766054,0.232713,0,0.00123262,100000,297.355,183.701,3.31842,-0.195605,0,0.00463614,3307,1,0.0165,0.098,0.0165,0
0.00186032,0.000626549,1.1664,0,100000,0.743915,0,0.000626549,0.76642,0.232824,0,0.000756105,100000,297.604,94.2989,3.05433,-0.215677,0,0.00112918,3437,1,0.01725,0.098,0.01725,0
0.0015753,0.000411865,1.16566,0,100000,0.463089,0,0.000411865,0.766633,0.232889,0,0.000478208,100000,297.749,56.03,2.90327,-0.222447,0,0.00112918,3437,1,0.018,0.098,0.018,0
0.00129011,0.000198839,1.16494,0,100000,0.184746,0,0.000198839,0.766844,0.232953,0,0.000202683,100000,297.893,18.1302,2.75355,-0.229052,0,7.95218e-05,3567,1,0.01875,0.098,0.01875,0
0.000990389,0.000123866,1.16473,0,100000,0.113146,0,0.000123866,0.766904,0.232971,0,0.0001247,100000,297.934,10.9581,2.71473,-0.222018,0,7.95218e-05,3567,1,0.0195,0.098,0.0195,0
