"kappa","mut","rho","CO2","pd","k","H2O","alphat","N2","O2","dQ","aC3H6O","p","T","epsilon","U:0","U:1","U:2","flux","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00320465,0.00485799,1.22422,0,100001,8.5181,0,0.00485799,0.751445,0.228285,0,0.0202707,100000,286.362,1646.46,12.4243,0,0,0.305859,73,1,0,0.147,0,0
0.00319902,0.00485542,1.21905,0,100000,8.53606,0,0.00485542,0.75247,0.228596,0,0.018934,100000,287.38,1647.67,12.2811,0.0581246,0,0.282177,463,1,0.0015,0.147,0.0015,0
0.00321938,0.00486326,1.2145,0,100000,8.63717,0,0.00486326,0.753476,0.228901,0,0.0176225,100000,288.265,1678.08,11.8942,0.106166,0,0.251368,983,1,0.003,0.147,0.003,0
0.00323645,0.00487244,1.20997,0,100000,8.73215,0,0.00487244,0.754557,0.229229,0,0.0162136,100000,289.136,1705.58,11.3126,0.144014,0,0.216212,1503,1,0.0045,0.147,0.0045,0
0.00321949,0.00485915,1.20533,0,100000,8.69604,0,0.00485915,0.755725,0.229583,0,0.0146919,100000,290.027,1689.58,10.5827,0.168876,0,0.184717,1893,1,0.006,0.147,0.006,0
0.00315997,0.00480179,1.20056,0,100000,8.46779,0,0.00480179,0.756953,0.229956,0,0.0130906,100000,290.942,1614.72,9.77539,0.179572,0,0.158474,2153,1,0.0075,0.147,0.0075,0
0.00305878,0.00468627,1.19592,0,100000,8.03044,0,0.00468627,0.758181,0.230327,0,0.011492,100000,291.835,1482.3,8.9313,0.177211,0,0.129043,2413,1,0.009,0.147,0.009,0
0.00292218,0.00450386,1.19146,0,100000,7.40239,0,0.00450386,0.759379,0.230691,0,0.00993056,100000,292.694,1306.01,8.08544,0.163309,0,0.097772,2673,1,0.0105,0.147,0.0105,0
0.00276081,0.00425928,1.18725,0,100000,6.63875,0,0.00425928,0.76053,0.23104,0,0.00843042,100000,293.512,1106.97,7.26013,0.140641,0,0.0670474,2933,1,0.012,0.147,0.012,0
0.00257879,0.00394619,1.18335,0,100000,5.77115,0,0.00394619,0.761608,0.231366,0,0.00702625,100000,294.269,900.839,6.47558,0.11027,0,0.0527684,3063,1,0.0135,0.147,0.0135,0
0.00238311,0.00357544,1.17976,0,100000,4.85513,0,0.00357544,0.762612,0.231671,0,0.00571771,100000,294.97,702.298,5.73806,0.0750563,0,0.0396954,3193,1,0.015,0.147,0.015,0
0.00217476,0.00314946,1.17649,0,100000,3.92567,0,0.00314946,0.763534,0.23195,0,0.00451608,100000,295.611,520.677,5.0553,0.0365341,0,0.0281841,3323,1,0.0165,0.147,0.0165,0
0.0019541,0.00267377,1.17356,0,100000,3.02045,0,0.00267377,0.764367,0.232202,0,0.00343022,100000,296.187,363.197,4.43549,-0.00381751,0,0.0184797,3453,1,0.018,0.147,0.018,0
0.00172387,0.00215997,1.17099,0,100000,2.18155,0,0.00215997,0.765103,0.232425,0,0.00247192,100000,296.694,234.879,3.88806,-0.0434215,0,0.0108132,3583,1,0.0195,0.147,0.0195,0
0.00148727,0.00162532,1.16879,0,100000,1.44216,0,0.00162532,0.765734,0.232616,0,0.00164896,100000,297.129,136.46,3.41838,-0.0798444,0,0.00532356,3713,1,0.021,0.147,0.021,0
0.0012464,0.00108465,1.16695,0,100000,0.816912,0,0.00108465,0.766264,0.232777,0,0.000958768,100000,297.493,65.5626,3.02528,-0.11186,0,0.00532356,3713,1,0.0225,0.147,0.0225,0
0.0010149,0.000632029,1.16578,0,100000,0.429916,0,0.000632029,0.766603,0.23288,0,0.000516405,100000,297.726,31.4973,2.77665,-0.129183,0,0.00185858,3843,1,0.024,0.147,0.024,0
0.000769237,0.000305275,1.165,0,100000,0.178844,0,0.000305275,0.766829,0.232948,0,0.000223021,100000,297.881,11.1602,2.61402,-0.135403,0,0.000273316,3973,1,0.0255,0.147,0.0255,0
0.000511723,8.26493e-05,1.16454,0,100000,0.0391047,0,8.26493e-05,0.76696,0.232988,0,5.17699e-05,100000,297.972,1.96834,2.52189,-0.132493,0,0.000273316,3973,1,0.027,0.147,0.027,0
