x,Curve1
0.00647249,2.77256
0.20712,2.78339
0.466019,2.87004
0.724919,2.87545
0.977346,2.80505
1.22977,2.61011
1.50162,2.39892
1.74757,2.07942
2.01942,1.7491
2.28479,1.45668
