,t (h),pwf (bar),pavg (bar),q (m3/d)
0,0.0,400.0,399.99999999999835,0.0
1,0.0009749876549305627,395.3558486893935,399.99965752417893,-183.31396286727602
2,0.002045035402587825,394.1355700326803,399.99931504828,-167.0288944124144
3,0.0032194114846602873,393.5409789142557,399.9989391814427,-167.02887707445038
4,0.004508287784959395,393.1614017470632,399.99852666806333,-167.02887281391912
5,0.005922827933410923,392.88516113173716,399.9980739351044,-167.02888547709108
6,0.007475284000076839,392.6691140710399,399.9975770612733,-167.02887456563204
7,0.009179102616724886,392.4922678295893,399.9970317428417,-167.02887926478468
8,0.011049041445120195,392.3428535578519,399.99643325654694,-167.02887630294498
9,0.013101297000831593,392.2136221832087,399.99577641859486,-167.02887181011445
10,0.015353644939701113,392.09978707683996,399.99505553974507,-167.02887372328334
11,0.017825594022071234,391.99801191909506,399.99426437615784,-167.0288609663722
12,0.020538555088334156,391.9058691616529,399.9933960750846,-167.02886344861918
13,0.02351602650938841,391.8215300044175,399.9924431157473,-167.02886018041642
14,0.02678379771828634,391.7435763751374,399.9913972440271,-167.02886399784396
15,0.030370172585965537,391.67088154423817,399.99024940109433,-167.02886560510944
16,0.03430621457583882,391.60253137331574,399.98898964487597,-167.02886780957968
17,0.038626015800653536,391.53777086239404,399.9876070639588,-167.0288705549615
18,0.04336699231206307,391.47596708353603,399.98608968311,-167.0288704477604
19,0.048570208180566676,391.41658284463546,399.9844243594932,-167.02887129222606
20,0.0542807311728432,391.3591575980109,399.98259666887515,-167.02887170047097
21,0.060548023107186384,391.3032932600686,399.98059078064404,-167.02887453982976
22,0.0674263682681127,391.24864332563703,399.9783893207627,-167.0288763620788
23,0.07497534359086437,391.1949042479462,399.9759732212696,-167.02887573821158
24,0.083260334688322,391.1418083115442,399.9733215550743,-167.02887475431288
25,0.09235310218990259,391.08911762355825,399.9704113546859,-167.0288754757762
26,0.10233240329780277,391.036618805737,399.9672174133741,-167.02887433158438
27,0.11328467394420659,390.9841183172721,399.96371206672467,-167.0288744613064
28,0.1253047774579806,390.93143822900345,399.9598649530644,-167.02887619329968
29,0.1384968262254465,390.87841245239997,399.9556427505737,-167.0288761083577
30,0.15297508346206434,390.8248833240863,399.951008888599,-167.02887443144215
31,0.16886495290574333,390.77069854929795,399.94592323077427,-167.02887535187182
32,0.18630406500402702,390.7157084438515,399.9403417275664,-167.0288760544258
33,0.20544346900318844,390.6597634311346,399.93421603478714,-167.02887330267393
34,0.2264489412645407,390.6027117762292,399.9274930944468,-167.02887522312787
35,0.24950242113997348,390.54439750928907,399.9201146757996,-167.02887348441251
36,0.2748035868435802,390.48465851223585,399.91201687056264,-167.02887101661665
37,0.30257158496882347,390.42332477714456,399.9031295392918,-167.02887139470138
38,0.3330469286314916,390.36021681018906,399.89337570424675,-167.0288704821948
39,0.36649358067924676,390.2951442138748,399.88267088228645,-167.0288710999596
40,0.4032012400115334,390.22790441410854,399.87092235343994,-167.028870534369
41,0.44348785081285774,390.1582815506254,399.8580283574989,-167.02887099633395
42,0.48770235643321086,390.08604548893913,399.8438772129036,-167.0288706152277
43,0.5362277217684343,390.01095091854273,399.8283463490813,-167.0288716756498
44,0.5894842503189409,389.93273644046945,399.8113012451801,-167.02887196194368
45,0.6479332246575676,389.8511236325273,399.7925942646889,-167.0288719801335
46,0.7120809018385464,389.76581595690124,399.7720633767405,-167.02887159830078
47,0.782482898353917,389.67649742440767,399.7495307525803,-167.02887146791898
48,0.8597490026177825,389.582830999084,399.7248012254062,-167.02887129870211
49,0.9445484566618337,389.4844567072015,399.6976605997122,-167.0288722171278
50,1.0376157527896641,389.3809894282938,399.6678737964916,-167.02887236677736
51,1.1397569953977356,389.27201646538737,399.6351828165371,-167.02887334750685
52,1.25185688306602,389.1570950083662,399.5993045058234,-167.0288760050273
53,1.3748863713938733,389.0357495675448,399.55992810372146,-167.02887764114575
54,1.5099110829529332,388.90746960880364,399.5167125518386,-167.02887449645243
55,1.6581005372000575,388.7717074334684,399.4692835370657,-167.028874254906
56,1.8207382802953678,388.6278766139348,399.41723025237843,-167.0288727320606
57,1.999233002565046,388.4753509056979,399.36010183705525,-167.02887167682857
58,2.1951307399030457,388.3134637871823,399.2974034716688,-167.0288719289543
59,2.410128264794381,388.1415085103955,399.2285920928955,-167.02887232525958
60,2.646087782946684,387.95873854251204,399.1530716897889,-167.0288719959052
61,2.9050530628251727,387.76436817143315,399.07018814046694,-167.02887228366515
62,3.1892671377973816,387.557573001151,398.9792235475929,-167.0288719413834
63,3.501191734215131,387.3374899607616,398.8793900193919,-167.0288716371109
64,3.8435285937105235,387.1032164676864,398.7698228454718,-167.02887158334534
65,4.2192428743894945,386.853808313314,398.64957300726985,-167.02887170283216
66,4.631588833612778,386.5882759856638,398.51759895829184,-167.02887170367134
67,5.08413801481637,386.30557891518964,398.37275760209366,-167.0288721277004
