x,Curve1
0.126653,3.21219
0.326894,2.6622
0.519337,2.03315
0.711678,1.29884
0.904223,0.775056
1.10464,0.409272
1.29747,0.174967
1.49042,0.0722423
1.69891,0.0749857
1.89194,0.0512098
