"origId","origProcId","m","d","yDot","injector","ct","ms","aC3H6O","T","tTurb","y","liquidCore","U:0","U:1","U:2","n:0","n:1","n:2","Uturb:0","Uturb:1","Uturb:2","Points:0","Points:1","Points:2"
98399,2,6.34218e-13,1.72964e-05,0,0,0,0,1,290.862,4.75e-05,0,0,7.92282,-0.771744,-2.88266e-06,0,1,3.73526e-06,0.123941,1.09585,2.46563,0.120272,0.00983629,3.67411e-08
96309,2,6.2783e-13,1.37055e-05,0,0,0,0,1,295.019,0.002115,0,0,4.33173,0.638556,1.21584e-08,0,1,1.90405e-08,-0.759284,0.754228,-0.136048,0.0814476,0.0121116,2.30611e-10
97228,2,6.33698e-13,1.7336e-05,0,0,0,0,1,290.413,0.001915,0,0,9.30889,0.229033,-5.06015e-08,0,1,-2.20935e-07,-0.0664313,-0.0794245,0.0377743,0.120899,0.00914773,-2.02106e-09
96612,2,6.34657e-13,2.55168e-05,0,0,0,0,1,289.658,0.0002375,0,0,9.98457,1.61354,4.26416e-07,0,1,2.64274e-07,1.51865,3.86922,-3.37142,0.12107,0.00964144,2.54798e-09
96007,2,6.21462e-13,8.95948e-06,0,0,0,0,1,293.351,0.0006025,0,0,6.48059,-0.247202,2.39149e-08,0,1,-9.67424e-08,-0.587166,-0.380335,0.426451,0.116867,0.0117101,-1.13286e-09
97757,2,6.35127e-13,2.18968e-05,0,0,0,0,1,288.807,0.00145,0,0,11.1609,1.85597,-2.00125e-09,0,1,-1.07828e-09,1.9055,1.69838,0.00208724,0.121772,0.0101761,-1.09726e-11
98126,2,6.33502e-13,1.23241e-05,0,0,0,0,1,290.885,0.0036675,0,0,10.2778,1.1427,2.57991e-06,0,1,2.25772e-06,1.17439,0.958513,0.288292,0.123755,0.00962357,2.17274e-08
96694,2,6.2997e-13,1.28391e-05,0,0,0,0,1,291.342,0.0013275,0,0,10.8441,0.367261,9.84037e-08,0,1,2.67939e-07,1.92739,0.202712,-1.50415,0.117744,0.00950608,2.54705e-09
97979,2,6.32559e-13,1.13341e-05,0,0,0,0,1,290.8,0.002615,0,0,9.38436,0.777146,-1.56823e-06,0,1,-2.01793e-06,0.0134494,0.585067,0.593101,0.125235,0.00912179,-1.84072e-08
97986,2,6.33879e-13,1.41031e-05,0,0,0,0,1,289.849,0.00105,0,0,9.08141,0.733863,1.85256e-07,0,1,2.52439e-07,-0.398114,0.29976,0.248473,0.121182,0.00914442,2.30841e-09
98226,2,6.33242e-13,1.19268e-05,0,0,0,0,1,290.31,0.00019,0,0,7.80404,0.955296,6.20233e-06,0,1,6.49257e-06,0.208713,0.00682034,-0.0907302,0.125686,0.00908708,5.89985e-08
96796,2,6.28301e-13,1.02596e-05,0,0,0,0,1,291.275,0.003685,0,0,9.03218,0.119042,1.86853e-08,0,1,1.56964e-07,-0.131765,-0.0629994,0.161503,0.114939,0.00911172,1.43021e-09
