"nut","k","p","epsilon","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00043873,5.93997,100000,7289.41,24.0059,-0.00011947,0,1,0.00384634,0.5,0.00384634,0
0.000424694,6.00935,100000,7737.62,23.7892,-0.000113979,0,1,0.00389629,0.5,0.00389629,0
0.000410658,6.07872,100000,8185.83,23.5726,-0.000108489,0,1,0.00394624,0.5,0.00394624,0
0.000396623,6.1481,100000,8634.04,23.3559,-0.000102998,0,1,0.00399619,0.5,0.00399619,0
0.00038096,6.2188,100000,9269.79,23.1005,-9.74704e-05,3.41061e-14,1,0.00404615,0.5,0.00404615,0
0.000365298,6.2895,100000,9905.55,22.845,-9.19429e-05,6.82122e-14,1,0.0040961,0.5,0.0040961,0
0.000349636,6.36021,100000,10541.3,22.5896,-8.64155e-05,1.02318e-13,1,0.00414605,0.5,0.00414605,0
0.0003328,6.43181,100000,11404.4,22.2968,-8.0935e-05,9.09493e-14,1,0.004196,0.5,0.004196,0
0.000315376,6.50386,100000,12381.2,21.9854,-7.54781e-05,5.68433e-14,1,0.00424596,0.5,0.00424596,0
0.000297953,6.57592,100000,13357.9,21.674,-7.00211e-05,2.27372e-14,1,0.00429591,0.5,0.00429591,0
0.000279922,6.64839,100000,14575.1,21.3331,-6.46194e-05,0,1,0.00434586,0.5,0.00434586,0
0.000260674,6.72169,100000,16273,20.9332,-5.93284e-05,0,1,0.00439581,0.5,0.00439581,0
0.000241426,6.79499,100000,17970.9,20.5333,-5.40373e-05,0,1,0.00444576,0.5,0.00444576,0
0.000222178,6.86829,100000,19668.8,20.1334,-4.87462e-05,0,1,0.00449572,0.5,0.00449572,0
0.000201325,6.94158,100000,23317.9,19.5722,-4.365e-05,1.7053e-14,1,0.00454567,0.5,0.00454567,0
0.000180471,7.01487,100000,26966.9,19.011,-3.85539e-05,3.41061e-14,1,0.00459562,0.5,0.00459562,0
0.000159618,7.08815,100000,30616,18.4499,-3.34577e-05,5.11591e-14,1,0.00464557,0.5,0.00464557,0
0.00013902,7.19858,100000,40147.8,17.652,-2.86175e-05,5.68434e-14,1,0.00469553,0.5,0.00469553,0
0.000118549,7.32758,100000,52620.9,16.7359,-2.39054e-05,5.68434e-14,1,0.00474548,0.5,0.00474548,0
9.80787e-05,7.45658,100000,65094,15.8197,-1.91932e-05,5.68434e-14,1,0.00479543,0.5,0.00479543,0
8.00177e-05,7.57349,100000,76719.6,14.7142,-1.51184e-05,5.54223e-14,1,0.00484538,0.5,0.00484538,0
6.67757e-05,7.66622,100000,86650.1,13.2298,-1.23183e-05,5.11591e-14,1,0.00489534,0.5,0.00489534,0
5.35338e-05,7.75894,100000,96580.5,11.7454,-9.51819e-06,4.68958e-14,1,0.00494529,0.5,0.00494529,0
4.02918e-05,7.85167,100000,106511,10.261,-6.71806e-06,4.26326e-14,1,0.00499524,0.5,0.00499524,0
