x,Curve1
-1.89274,1.14893
-1.70729,1.28796
-1.50648,1.54618
-1.31613,1.97811
-1.12051,2.26894
-0.930071,2.60322
-0.734417,2.86149
-0.54374,2.91368
-0.353017,2.91161
-0.156934,2.67078
-0.00223712,2.604
