"kappa","mut","rho","CO2","pd","k","H2O","alphat","N2","O2","dQ","aC3H6O","p","T","epsilon","U:0","U:1","U:2","flux","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00305482,0.00141504,1.28224,0,100025,4.53713,0,0.00141504,0.735517,0.223162,0,0.0413212,100000,276.354,1679.07,27.2435,0,0,1.44977,55,1,0,0.05,0,0
0.00359408,0.00145108,1.28119,0,100025,5.48416,0,0.00145108,0.735779,0.223244,0,0.0409772,100000,276.531,2396.56,26.8539,0.051312,0.0022382,1.42152,655,1,0.000750713,0.05,0.00075,3.27145e-05
0.00479858,0.00164245,1.27754,0,100025,8.3231,0,0.00164245,0.736693,0.223529,0,0.0397784,100000,277.151,4861.29,25.6513,0.11392,0.00496912,1.30816,1455,1,0.00150143,0.05,0.0015,6.54291e-05
0.00590819,0.00195557,1.2709,0,100025,12.2538,0,0.00195557,0.738364,0.224051,0,0.0375847,100000,278.284,8786.69,23.7629,0.181587,0.00792071,1.11987,2255,1,0.00225214,0.05,0.00225,9.81436e-05
0.00656612,0.00226204,1.26172,0,100024,15.8638,0,0.00226204,0.740699,0.224781,0,0.0345207,100000,279.871,12635.7,21.4693,0.235423,0.010269,0.954378,2855,1,0.00300285,0.05,0.003,0.000130858
0.00679731,0.00248889,1.25096,0,100024,18.2176,0,0.00248889,0.743466,0.225645,0,0.030889,100000,281.755,15013.9,19.0279,0.262918,0.0114683,0.733791,3655,1,0.00375357,0.05,0.00375,0.000163573
0.00670861,0.00261308,1.23945,0,100024,19.0466,0,0.00261308,0.746458,0.226581,0,0.0269613,100000,283.802,15488.5,16.5989,0.260991,0.0113843,0.536681,4455,1,0.00450428,0.05,0.0045,0.000196287
0.00639638,0.00263057,1.22783,0,100023,18.4496,0,0.00263057,0.749521,0.227538,0,0.0229412,100000,285.904,14304,14.2757,0.230859,0.0100699,0.392635,5055,1,0.00525499,0.05,0.00525,0.000229002
0.00595757,0.00255269,1.21672,0,100023,16.8253,0,0.00255269,0.75249,0.228466,0,0.0190447,100000,287.944,12151.2,12.1378,0.179072,0.00781099,0.294357,5455,1,0.00600571,0.05,0.006,0.000261716
0.00544471,0.00239022,1.20632,0,100023,14.5215,0,0.00239022,0.755303,0.229345,0,0.0153523,100000,289.881,9585.03,10.1951,0.11042,0.00481647,0.168212,6055,1,0.00675642,0.05,0.00675,0.000294431
