"kappa","mut","rho","CO2","pd","k","H2O","alphat","N2","O2","dQ","aC3H6O","p","T","epsilon","U:0","U:1","U:2","flux","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.000933633,0.00498227,1.20125,0,100022,5.17686,0,0.00498227,0.756862,0.229833,0,0.0133062,100000,290.803,581.791,9.79326,0,0,0.157586,132,1,0,0.2,0,0
0.000929684,0.00497942,1.20105,0,100022,5.15327,0,0.00497942,0.756892,0.229842,0,0.0132659,100000,290.846,576.705,9.77554,0.0145451,0.00063445,0.156886,732,1,0.000750713,0.2,0.00075,3.27145e-05
0.000928228,0.00497318,1.20077,0,100022,5.13978,0,0.00497318,0.756953,0.229861,0,0.0131862,100000,290.902,574.258,9.73449,0.0287793,0.00125533,0.155106,1532,1,0.00150143,0.2,0.0015,6.54291e-05
0.000928237,0.00497237,1.20039,0,100022,5.14063,0,0.00497237,0.757046,0.22989,0,0.0130643,100000,290.976,574.352,9.66967,0.0427057,0.0018628,0.152275,2332,1,0.00225214,0.2,0.00225,9.81436e-05
0.000929127,0.00497496,1.19989,0,100022,5.15043,0,0.00497496,0.757172,0.229929,0,0.0128996,100000,291.072,576.002,9.58131,0.0560308,0.00244403,0.149492,2932,1,0.00300285,0.2,0.003,0.000130858
0.000930697,0.00497645,1.19929,0,100022,5.16329,0,0.00497645,0.757328,0.229978,0,0.0126947,100000,291.189,578.417,9.47106,0.0685384,0.0029896,0.144974,3732,1,0.00375357,0.2,0.00375,0.000163573
0.000932443,0.00497582,1.19858,0,100022,5.17539,0,0.00497582,0.757512,0.230035,0,0.0124523,100000,291.324,580.861,9.34045,0.0800866,0.00349333,0.139641,4532,1,0.00450428,0.2,0.0045,0.000196287
0.000933843,0.0049726,1.19778,0,100022,5.18331,0,0.0049726,0.757725,0.230102,0,0.0121728,100000,291.479,582.624,9.18984,0.0906631,0.00395467,0.134399,5132,1,0.00525499,0.2,0.00525,0.000229002
0.000934485,0.00496624,1.1969,0,100022,5.18408,0,0.00496624,0.757961,0.230176,0,0.0118639,100000,291.649,583.111,9.02344,0.0998221,0.00435418,0.129675,5532,1,0.00600571,0.2,0.006,0.000261716
0.000934076,0.00495584,1.19594,0,100022,5.17511,0,0.00495584,0.758217,0.230256,0,0.0115275,100000,291.833,581.848,8.84242,0.10776,0.00470042,0.120978,6132,1,0.00675642,0.2,0.00675,0.000294431
0.000932354,0.0049402,1.19491,0,100022,5.1537,0,0.0049402,0.758492,0.230342,0,0.0111664,100000,292.029,578.372,8.64838,0.114324,0.00498672,0.11761,6332,1,0.00750713,0.2,0.0075,0.000327145
0.000929152,0.00491822,1.19384,0,100022,5.11779,0,0.00491822,0.758783,0.230432,0,0.0107844,100000,292.236,572.372,8.44331,0.119481,0.00521168,0.110131,6732,1,0.00825784,0.2,0.00825,0.00035986
0.000924442,0.0048892,1.19272,0,100022,5.06661,0,0.0048892,0.759087,0.230527,0,0.0103855,100000,292.452,563.778,8.22953,0.123274,0.00537712,0.101641,7132,1,0.00900856,0.2,0.009,0.000392574
