"kappa","mut","rho","CO2","pd","k","H2O","alphat","N2","O2","dQ","aC3H6O","p","T","epsilon","U:0","U:1","U:2","flux","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00155965,0.00490524,1.21457,0,100022,8.4264,0,0.00490524,0.753307,0.228721,0,0.0179723,100000,288.296,1582.99,12.3527,0,0,0.272651,113,1,0,0.15,0,0
0.00154879,0.00490594,1.2142,0,100022,8.37166,0,0.00490594,0.753357,0.228737,0,0.0179051,100000,288.374,1561.66,12.3058,0.0269413,0.00117516,0.270803,713,1,0.000750713,0.15,0.00075,3.27145e-05
0.0015456,0.00491558,1.21362,0,100022,8.37504,0,0.00491558,0.753488,0.228778,0,0.0177341,100000,288.487,1559.02,12.2072,0.053115,0.00231685,0.265495,1513,1,0.00150143,0.15,0.0015,6.54291e-05
0.00154854,0.00492311,1.21277,0,100022,8.40968,0,0.00492311,0.753696,0.228843,0,0.0174617,100000,288.649,1568.41,12.0539,0.0779065,0.00339823,0.256931,2313,1,0.00225214,0.15,0.00225,9.81436e-05
0.00155452,0.00492846,1.21166,0,100022,8.45896,0,0.00492846,0.753977,0.228931,0,0.0170926,100000,288.858,1583.69,11.8482,0.100628,0.00438932,0.248623,2913,1,0.00300285,0.15,0.003,0.000130858
0.00156027,0.00493305,1.21033,0,100022,8.5076,0,0.00493305,0.754323,0.229038,0,0.016638,100000,289.111,1598.7,11.596,0.120758,0.00526741,0.235455,3713,1,0.00375357,0.15,0.00375,0.000163573
0.00156377,0.00493514,1.20879,0,100022,8.5412,0,0.00493514,0.754726,0.229165,0,0.0161089,100000,289.401,1608.61,11.3041,0.137976,0.00601843,0.220445,4513,1,0.00450428,0.15,0.0045,0.000196287
0.0015636,0.0049314,1.20706,0,100022,8.54602,0,0.0049314,0.755182,0.229307,0,0.0155114,100000,289.726,1609.35,10.9756,0.152133,0.00663597,0.206237,5113,1,0.00525499,0.15,0.00525,0.000229002
0.00155909,0.00491909,1.20521,0,100022,8.51311,0,0.00491909,0.755674,0.229461,0,0.0148663,100000,290.076,1598.51,10.6223,0.162735,0.00709841,0.193892,5513,1,0.00600571,0.15,0.006,0.000261716
0.0015498,0.00489582,1.20326,0,100022,8.43606,0,0.00489582,0.756196,0.229624,0,0.014181,100000,290.445,1574.6,10.2483,0.170116,0.00742035,0.172252,6113,1,0.00675642,0.15,0.00675,0.000294431
