x,Curve1
-2.52913,0.771779
-2.19608,0.8848
-1.87901,1.17689
-1.54598,1.29533
-1.22061,1.37582
-0.895068,1.39122
-0.584918,1.36325
-0.25925,1.32982
0.0121537,1.29653
