x,Curve1
0.,2.23126
0.0346526,2.23126
0.0997987,2.18493
0.164817,1.93899
0.229868,1.74393
0.29626,1.64673
0.350037,1.80773
0.421713,1.98064
0.487794,1.39812
0.553616,0.408548
0.65,0.0
