"pd","pMean","TMean","N2","pPrime2Mean","kappa","rho","CO2","k","O2","aC3H6OMean","alphat","aC3H6OPrime2Mean","dQ","aC3H6O","p","T","mut","TPrime2Mean","H2O","epsilon","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","flux","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
100004,100000,286.207,0.752305,0.00561333,0.00224538,1.22431,0,13.4321,0.228528,0.0191491,0.00437565,5.39131e-08,0,0.0191672,100000,286.178,0.00437565,0.0186344,0,4544.12,17.1701,0,0,17.1284,0,0,0.0276962,0,0,0,0,0,0.405563,1,0,0.1,0,0
100005,100000,286.33,0.752406,0.00561333,0.00224545,1.22371,0,13.4731,0.228558,0.0190064,0.00438659,5.07851e-08,0,0.0190353,100000,286.299,0.00438659,0.0170643,0,4557.68,17.036,0.0581122,0,16.9921,0.0580068,0,0.0253256,3.57113e-05,6.80756e-08,1.58237e-05,0,0,0.397703,1,0.00075,0.1,0.00075,0
100005,100000,286.595,0.752701,0.00561333,0.00228068,1.22237,0,13.6747,0.228648,0.0186089,0.00437834,4.40439e-08,0,0.0186512,100000,286.558,0.00437834,0.0148801,0,4699,16.7067,0.112442,0,16.6534,0.110962,0,0.0215449,0.000112677,2.14794e-07,-3.65961e-05,0,0,0.380786,1,0.0015,0.1,0.0015,0
100005,100000,286.987,0.753166,0.00561333,0.00232936,1.22033,0,13.9663,0.22879,0.0179931,0.00437066,3.58448e-08,0,0.0180444,100000,286.947,0.00437066,0.0121725,0,4902.15,16.1988,0.159345,0,16.1416,0.156878,0,0.0170168,0.000203355,3.87652e-07,-0.000167732,0,0,0.355996,1,0.00225,0.1,0.00225,0
100005,100000,287.483,0.753771,0.00561333,0.00237384,1.21774,0,14.2434,0.228974,0.0171993,0.00436432,2.79449e-08,0,0.0172547,100000,287.443,0.00436432,0.00954119,0,5095.28,15.5473,0.195726,0,15.4917,0.193403,0,0.0127624,0.000280684,5.35062e-07,-0.000327272,0,0,0.325815,1,0.003,0.1,0.003,0
100005,100000,288.059,0.754483,0.00561333,0.00240078,1.21473,0,14.4068,0.22919,0.0162705,0.00435389,2.12693e-08,0,0.0163268,100000,288.02,0.00435389,0.00729807,0,5212.4,14.7917,0.220853,0,14.7413,0.219548,0,0.00926513,0.000331408,6.31755e-07,-0.000464707,0,0,0.292643,1,0.00375,0.1,0.00375,0
100005,100000,288.69,0.755267,0.00561333,0.00240461,1.21144,0,14.3903,0.229429,0.0152472,0.00433012,1.60486e-08,0,0.0153034,100000,288.652,0.00433012,0.00552725,0,5214.82,13.9682,0.23511,0,13.9249,0.235278,0,0.00663278,0.000353582,6.74026e-07,-0.000556091,0,0,0.258586,1,0.0045,0.1,0.0045,0
100005,100000,289.36,0.756101,0.00561333,0.00238536,1.20797,0,14.1622,0.229683,0.0141586,0.00428353,1.21596e-08,0,0.0142158,100000,289.322,0.00428353,0.00419798,0,5091.1,13.1027,0.239279,0,13.0676,0.241183,0,0.00475464,0.000351743,6.70521e-07,-0.000597681,0,0,0.225915,1,0.00525,0.1,0.00525,0
100005,100000,290.045,0.756955,0.00561333,0.00234577,1.20443,0,13.7215,0.229943,0.0130422,0.00420788,9.4296e-09,0,0.0131026,100000,290.008,0.00420788,0.00324361,0,4850.89,12.2267,0.2342,0,12.1995,0.237997,0,0.0034781,0.000332656,6.34135e-07,-0.000595755,0,0,0.191851,1,0.006,0.1,0.006,0
100005,100000,290.734,0.757812,0.00561333,0.00228995,1.2009,0,13.0895,0.230204,0.0119177,0.00409977,7.59315e-09,0,0.0119841,100000,290.696,0.00409977,0.00259607,0,4517.45,11.3569,0.221339,0,11.3359,0.226979,0,0.00264133,0.000303525,5.78604e-07,-0.000562554,0,0,0.167738,1,0.00675,0.1,0.00675,0
100005,100000,291.416,0.758661,0.00561333,0.00222149,1.19743,0,12.2976,0.230462,0.0108021,0.00395889,6.4301e-09,0,0.0108768,100000,291.376,0.00395889,0.00218849,0,4117.32,10.5056,0.201961,0,10.4894,0.20927,0,0.0021205,0.00027008,5.14848e-07,-0.000508832,0,0,0.143062,1,0.0075,0.1,0.0075,0
100005,100000,292.083,0.759492,0.00561333,0.00214316,1.19405,0,11.3783,0.230715,0.00970907,0.00378576,5.74209e-09,0,0.00979298,100000,292.04,0.00378576,0.00195917,0,3675.82,9.68228,0.17726,0,9.66997,0.185816,0,0.00181984,0.000236757,4.51324e-07,-0.000443459,0,0,0.118425,1,0.00825,0.1,0.00825,0
100005,100000,292.729,0.760299,0.00561333,0.00205752,1.19079,0,10.371,0.23096,0.0086488,0.00358347,5.31964e-09,0,0.00874049,100000,292.683,0.00358347,0.00184016,0,3217.95,8.8929,0.148633,0,8.88419,0.157755,0,0.00165716,0.000206612,3.93861e-07,-0.000373048,0,0,0.0945004,1,0.009,0.1,0.009,0
100005,100000,293.352,0.76108,0.00561333,0.00196642,1.18766,0,9.31353,0.231198,0.00762677,0.00335738,4.98601e-09,0,0.0077224,100000,293.304,0.00335738,0.00176721,0,2763.01,8.13905,0.117414,0,8.13467,0.126254,0,0.00157028,0.000181219,3.45454e-07,-0.000301722,0,0,0.0719869,1,0.00975,0.1,0.00975,0
100005,100000,293.947,0.761831,0.00561333,0.00187043,1.18466,0,8.23413,0.231427,0.006649,0.00311158,4.63714e-09,0,0.00674224,100000,293.9,0.00311158,0.00169396,0,2324.83,7.42321,0.084479,0,7.42503,0.092072,0,0.00152466,0.000161804,3.08443e-07,-0.000231965,0,0,0.0614736,1,0.0105,0.1,0.0105,0
100005,100000,294.513,0.762553,0.00561333,0.00176945,1.1818,0,7.15985,0.231646,0.00571814,0.00285234,4.26058e-09,0,0.0058009,100000,294.472,0.00285234,0.00160113,0,1913.01,6.74509,0.0506895,0,6.75585,0.0561383,0,0.00150693,0.000148251,2.82608e-07,-0.00016556,0,0,0.0423394,1,0.01125,0.1,0.01125,0
100005,100000,295.046,0.763239,0.00561333,0.00166165,1.1791,0,6.11495,0.231855,0.00484278,0.00258477,3.97368e-09,0,0.00490559,100000,295.014,0.00258477,0.0015158,0,1537.51,6.10966,0.0166092,0,6.13281,0.019112,0,0.00154662,0.000144156,2.74801e-07,-0.000107698,0,0,0.0338773,1,0.012,0.1,0.012,0
100004,100000,295.545,0.763889,0.00561333,0.00154677,1.17655,0,5.1153,0.232053,0.00402192,0.00231461,3.95703e-09,0,0.00405776,100000,295.528,0.00231461,0.00150415,0,1199.85,5.51525,-0.017545,0,5.55347,-0.0184365,0,0.00169166,0.00014717,2.80548e-07,-6.39819e-05,0,0,0.0262639,1,0.01275,0.1,0.01275,0
100004,100000,296.007,0.764494,0.00561333,0.00142338,1.17418,0,4.18132,0.232237,0.00326298,0.00204847,4.40982e-09,0,0.00326831,100000,296.007,0.00204847,0.00165327,0,905.035,4.96778,-0.0512106,0,5.02218,-0.0556278,0,0.00198904,0.000152898,2.91466e-07,-2.57168e-05,0,0,0.0196128,1,0.0135,0.1,0.0135,0
100004,100000,296.428,0.765046,0.00561333,0.00128855,1.17202,0,3.33017,0.232405,0.00257184,0.00179451,5.64514e-09,0,0.00254937,100000,296.444,0.00179451,0.0020997,0,655.415,4.47381,-0.0837832,0,4.54217,-0.091356,0,0.00252843,0.000163065,3.10847e-07,3.36473e-05,0,0,0.0139822,1,0.01425,0.1,0.01425,0
100004,100000,296.806,0.765532,0.00561333,0.00113944,1.17011,0,2.57371,0.232553,0.00195311,0.00155982,8.37525e-09,0,0.00191426,100000,296.833,0.00155982,0.00310912,0,451.42,4.04106,-0.114867,0,4.11598,-0.12484,0,0.00354668,0.000181375,3.45752e-07,0.000163749,0,0,0.00941624,1,0.015,0.1,0.015,0
100004,100000,297.135,0.765945,0.00561333,0.00097576,1.16848,0,1.92055,0.232679,0.00141275,0.00134952,1.31836e-08,0,0.00137555,100000,297.164,0.00134952,0.00487511,0,292.367,3.6777,-0.143601,0,3.74722,-0.155155,0,0.00519888,0.000208675,3.97793e-07,0.000390044,0,0,0.00592058,1,0.01575,0.1,0.01575,0
100004,100000,297.411,0.766279,0.00561333,0.000803742,1.16717,0,1.37528,0.232781,0.000960394,0.00116296,1.81038e-08,0,0.000939727,100000,297.432,0.00116296,0.00666758,0,175.834,3.38845,-0.16867,0,3.44198,-0.180793,0,0.00671776,0.000231334,4.40988e-07,0.000589662,0,0,0.00343188,1,0.0165,0.1,0.0165,0
100004,100000,297.628,0.766537,0.00561333,0.000636703,1.16617,0,0.935989,0.232859,0.000605401,0.000989111,1.99227e-08,0,0.000603396,100000,297.639,0.000989111,0.00732297,0,96.5668,3.17121,-0.18891,0,3.20576,-0.200083,0,0.00702959,0.000236026,4.49932e-07,0.000610096,0,0,0.00179985,1,0.01725,0.1,0.01725,0
100004,100000,297.786,0.766727,0.00561333,0.00048884,1.16543,0,0.594818,0.232917,0.000348509,0.000812824,1.7194e-08,0,0.000355564,100000,297.79,0.000812824,0.0063243,0,47.2409,3.01798,-0.203669,0,3.03799,-0.212176,0,0.00576873,0.000223334,4.25737e-07,0.000419838,0,0,0.000811562,1,0.018,0.1,0.018,0
