"pd","pMean","TMean","N2","pPrime2Mean","kappa","rho","CO2","k","O2","aC3H6OMean","alphat","aC3H6OPrime2Mean","dQ","aC3H6O","p","T","mut","TPrime2Mean","H2O","epsilon","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","flux","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
100004,100000,289.987,0.757324,0.00561333,0.00124779,1.20414,0,8.15891,0.230055,0.0126721,0.00470869,5.78271e-08,0,0.0126216,100000,290.009,0.00470869,0.0218379,0,1532.23,12.1349,0,0,12.1113,0,0,0.0225643,0,0,0,0,0,0.186614,1,0,0.15,0,0
100004,100000,290.061,0.757364,0.00561333,0.00123111,1.2038,0,8.14119,0.230068,0.0126173,0.00476122,5.67339e-08,0,0.0125682,100000,290.081,0.00476122,0.0208045,0,1508.52,12.0948,0.0277212,0,12.0606,0.0266243,0,0.0220007,1.93162e-05,3.68221e-08,2.94433e-05,0,0,0.184842,1,0.00075,0.15,0.00075,0
100004,100000,290.167,0.757463,0.00561333,0.00121835,1.20327,0,8.14284,0.230097,0.0124905,0.00481021,5.40631e-08,0,0.0124394,100000,290.189,0.00481021,0.0194763,0,1493.13,11.9905,0.0536523,0,11.9564,0.0518734,0,0.020731,6.93562e-05,1.32212e-07,3.69527e-05,0,0,0.181058,1,0.0015,0.15,0.0015,0
100004,100000,290.311,0.757616,0.00561333,0.00121267,1.20255,0,8.17458,0.230144,0.0122936,0.00484875,5.00734e-08,0,0.0122404,100000,290.334,0.00484875,0.0178085,0,1491.9,11.8287,0.0777277,0,11.7996,0.0757297,0,0.0188655,0.000144602,2.75651e-07,1.25368e-05,0,0,0.175486,1,0.00225,0.15,0.00225,0
100004,100000,290.492,0.757818,0.00561333,0.00121105,1.20164,0,8.22031,0.230206,0.012031,0.0048787,4.51142e-08,0,0.0119764,100000,290.516,0.0048787,0.0158696,0,1498.21,11.618,0.0995543,0,11.5933,0.0975817,0,0.016641,0.000234873,4.47733e-07,-4.60037e-05,0,0,0.16842,1,0.003,0.15,0.003,0
100004,100000,290.708,0.758065,0.00561333,0.00121125,1.20055,0,8.26371,0.230281,0.0117094,0.00489919,3.96639e-08,0,0.0116538,100000,290.733,0.00489919,0.0138274,0,1506.36,11.3631,0.118877,0,11.3426,0.116976,0,0.0142932,0.00032944,6.28004e-07,-0.000133162,0,0,0.160109,1,0.00375,0.15,0.00375,0
100004,100000,290.954,0.758352,0.00561333,0.00121116,1.19931,0,8.29097,0.230368,0.011336,0.00491064,3.41405e-08,0,0.0112804,100000,290.979,0.00491064,0.0118304,0,1511.21,11.0693,0.135305,0,11.0534,0.133558,0,0.0120143,0.000419071,7.98866e-07,-0.000236832,0,0,0.150835,1,0.0045,0.15,0.0045,0
100004,100000,291.226,0.758672,0.00561333,0.00120906,1.19793,0,8.29073,0.230466,0.0109168,0.00491341,2.88295e-08,0,0.0108619,100000,291.251,0.00491341,0.00995474,0,1508.54,10.7418,0.148789,0,10.7306,0.147261,0,0.0099153,0.000497514,9.48399e-07,-0.000345812,0,0,0.141106,1,0.00525,0.15,0.00525,0
100004,100000,291.519,0.75902,0.00561333,0.00120388,1.19646,0,8.25413,0.230571,0.0104627,0.00490677,2.3984e-08,0,0.0104091,100000,291.542,0.00490677,0.00825283,0,1495.44,10.3898,0.158951,0,10.383,0.15771,0,0.00808245,0.000558644,1.06493e-06,-0.000449396,0,0,0.129941,1,0.006,0.15,0.006,0
100004,100000,291.827,0.759388,0.00561333,0.0011951,1.19491,0,8.17595,0.230683,0.00998029,0.00488969,1.97071e-08,0,0.00992877,100000,291.849,0.00488969,0.00675735,0,1470.46,10.0184,0.165828,0,10.0157,0.164988,0,0.00653779,0.000600822,1.14533e-06,-0.000539364,0,0,0.121273,1,0.00675,0.15,0.00675,0
100004,100000,292.146,0.759772,0.00561333,0.00118254,1.19331,0,8.05307,0.2308,0.00947647,0.00486084,1.60451e-08,0,0.00942782,100000,292.167,0.00486084,0.0054845,0,1433.14,9.63317,0.169514,0,9.6342,0.169182,0,0.00528192,0.000623992,1.1895e-06,-0.000610704,0,0,0.111628,1,0.0075,0.15,0.0075,0
100004,100000,292.474,0.760168,0.00561333,0.00116614,1.19167,0,7.88335,0.230921,0.00895704,0.00481873,1.30239e-08,0,0.00891179,100000,292.492,0.00481873,0.00444194,0,1383.48,9.23889,0.170031,0,9.24297,0.170313,0,0.00430496,0.000628733,1.19854e-06,-0.000661645,0,0,0.101058,1,0.00825,0.15,0.00825,0
100004,100000,292.805,0.76057,0.00561333,0.00114606,1.19002,0,7.66806,0.231043,0.00842792,0.00476254,1.06141e-08,0,0.00838642,100000,292.821,0.00476254,0.00361669,0,1322.6,8.83986,0.167556,0,8.8465,0.168551,0,0.00357636,0.000617548,1.17722e-06,-0.000691636,0,0,0.089681,1,0.009,0.15,0.009,0
100004,100000,293.139,0.760977,0.00561333,0.0011227,1.18836,0,7.41203,0.231167,0.0078943,0.00469262,8.74125e-09,0,0.00785675,100000,293.152,0.00469262,0.00298173,0,1252.45,8.44005,0.162462,0,8.44856,0.16421,0,0.00305314,0.000594028,1.13238e-06,-0.000702967,0,0,0.0776957,1,0.00975,0.15,0.00975,0
100004,100000,293.471,0.761383,0.00561333,0.00109624,1.1867,0,7.11787,0.23129,0.00736006,0.00460862,7.3707e-09,0,0.00732649,100000,293.481,0.00460862,0.00252343,0,1174.48,8.04259,0.1549,0,8.05207,0.157416,0,0.00270969,0.000560794,1.06903e-06,-0.000697024,0,0,0.0715577,1,0.0105,0.15,0.0105,0
