"pd","pMean","TMean","N2","pPrime2Mean","kappa","rho","CO2","k","O2","aC3H6OMean","alphat","aC3H6OPrime2Mean","dQ","aC3H6O","p","T","mut","TPrime2Mean","H2O","epsilon","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","flux","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
100006,100000,280.351,0.744406,0.00561333,0.00301729,1.25652,0,5.05358,0.226123,0.0294001,0.00125012,6.00479e-09,0,0.0294698,100000,280.311,0.00125012,0.00202771,0,2312.84,26.8936,0,0,26.7707,0,0,0.0120607,0,0,0,0,0,1.00067,1,0,0.05,0,0
100006,100000,280.512,0.744625,0.00561333,0.00307969,1.25558,0,6.17181,0.22619,0.0291295,0.0014945,6.153e-09,0,0.0291843,100000,280.479,0.0014945,0.00207144,0,2882.8,26.4428,0.056176,0,26.3535,0.0562743,0,0.0098707,5.49741e-05,1.04796e-07,-0.000374137,0,0,0.967818,1,0.00075,0.05,0.00075,0
100006,100000,281.041,0.745333,0.00561333,0.00379889,1.25256,0,9.17258,0.226406,0.0282297,0.0017964,6.26363e-09,0,0.0282612,100000,281.023,0.0017964,0.00213309,0,5289.27,25.1572,0.126924,0,25.1133,0.121042,0,0.00629152,0.000138837,2.64661e-07,-0.000527519,0,0,0.885565,1,0.0015,0.05,0.0015,0
100006,100000,281.972,0.746553,0.00561333,0.00455408,1.24738,0,12.9215,0.226777,0.02665,0.00210346,5.53547e-09,0,0.0266702,100000,281.962,0.00210346,0.00193079,0,8918.71,23.2546,0.191245,0,23.2338,0.185594,0,0.00354205,0.00016779,3.19855e-07,-0.000520365,0,0,0.767265,1,0.00225,0.05,0.00225,0
100006,100000,283.243,0.748201,0.00561333,0.00505524,1.24042,0,16.1549,0.227279,0.0244991,0.00235701,4.45509e-09,0,0.0245208,100000,283.233,0.00235701,0.0016072,0,12364,21.0129,0.236966,0,20.9956,0.234345,0,0.00208423,0.000145242,2.76872e-07,-0.00043162,0,0,0.633192,1,0.003,0.05,0.003,0
100005,100000,284.75,0.750142,0.00561333,0.00525882,1.23228,0,18.1352,0.227869,0.0219595,0.00252758,3.54043e-09,0,0.0219885,100000,284.736,0.00252758,0.00132245,0,14431.7,18.6439,0.257012,0,18.6253,0.257908,0,0.00139295,0.000107243,2.04435e-07,-0.000327774,0,0,0.500543,1,0.00375,0.05,0.00375,0
100005,100000,286.39,0.752242,0.00561333,0.00522024,1.22354,0,18.6696,0.228509,0.0192103,0.00260319,2.97686e-09,0,0.0192492,100000,286.372,0.00260319,0.00112565,0,14746,16.2931,0.249423,0,16.2728,0.253898,0,0.00107878,7.43634e-05,1.41757e-07,-0.000239046,0,0,0.380627,1,0.0045,0.05,0.0045,0
100005,100000,288.083,0.754397,0.00561333,0.00501327,1.21465,0,17.914,0.229164,0.0163875,0.0025823,2.75726e-09,0,0.0164388,100000,288.056,0.0025823,0.00103435,0,13588.6,14.0441,0.216247,0,14.0208,0.223915,0,0.000960966,5.34143e-05,1.01822e-07,-0.00017694,0,0,0.281082,1,0.00525,0.05,0.00525,0
100005,100000,289.743,0.756502,0.00561333,0.00470169,1.20604,0,16.1796,0.229805,0.0136294,0.002469,2.77346e-09,0,0.0136935,100000,289.708,0.002469,0.00101506,0,11513.9,11.9672,0.162832,0,11.9414,0.172691,0,0.000933554,4.43943e-05,8.46278e-08,-0.000142166,0,0,0.193145,1,0.006,0.05,0.006,0
100005,100000,291.323,0.758505,0.00561333,0.00433142,1.19793,0,13.815,0.230414,0.0110084,0.00227239,2.80785e-09,0,0.0110801,100000,291.283,0.00227239,0.00100968,0,9061.31,10.0788,0.0951334,0,10.0524,0.105679,0,0.00091196,4.24827e-05,8.09839e-08,-0.00012332,0,0,0.140566,1,0.00675,0.05,0.00675,0
