"kappa","mut","rho","CO2","pd","k","H2O","alphat","N2","O2","dQ","aC3H6O","p","T","epsilon","U:0","U:1","U:2","mflux","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00124035,0.00465454,1.18928,0,100000,3.24667,0,0.00465454,0.755585,0.231908,0,0.0125072,100000,290.681,242.568,8.3339,0,0,0.124039,96,1,0,0.25,0,0
0.00124302,0.00465309,1.18862,0,100000,3.25444,0,0.00465309,0.756589,0.231916,0,0.0114948,100000,291.463,243.675,8.28594,0.0228312,0,0.11346,616,1,0.002,0.25,0.002,0
0.00124959,0.0046511,1.18785,0,100000,3.27242,0,0.0046511,0.757244,0.231944,0,0.0108119,100000,291.939,246.322,8.14383,0.0439018,0,0.104888,1266,1,0.004,0.25,0.004,0
0.00125617,0.00464146,1.18681,0,100000,3.28576,0,0.00464146,0.757913,0.231989,0,0.0100977,100000,292.4,248.631,7.91623,0.0620438,0,0.094272,1916,1,0.006,0.25,0.006,0
0.00125806,0.00461492,1.18548,0,100000,3.27559,0,0.00461492,0.758622,0.232047,0,0.00933143,100000,292.869,248.234,7.62038,0.0760206,0,0.0845203,2306,1,0.008,0.25,0.008,0
0.00125197,0.00456188,1.18391,0,100000,3.2266,0,0.00456188,0.75936,0.232116,0,0.00852455,100000,293.345,243.336,7.27306,0.0854255,0,0.0712833,2696,1,0.01,0.25,0.01,0
0.00123589,0.00447217,1.18218,0,100000,3.12723,0,0.00447217,0.760123,0.232191,0,0.00768587,100000,293.829,232.818,6.88914,0.0899518,0,0.060277,2956,1,0.012,0.25,0.012,0
0.00120945,0.00433861,1.18035,0,100000,2.97383,0,0.00433861,0.760889,0.232272,0,0.00683935,100000,294.308,216.689,6.48349,0.0897354,0,0.054252,3086,1,0.014,0.25,0.014,0
0.00117327,0.00415682,1.17849,0,100000,2.76917,0,0.00415682,0.761641,0.232354,0,0.00600451,100000,294.772,195.823,6.06873,0.0851493,0,0.0414873,3346,1,0.016,0.25,0.016,0
0.00112827,0.00392475,1.17663,0,100000,2.51962,0,0.00392475,0.762372,0.232437,0,0.00519077,100000,295.219,171.482,5.65435,0.0766509,0,0.034967,3476,1,0.018,0.25,0.018,0
0.00107567,0.00364389,1.17482,0,100000,2.23538,0,0.00364389,0.763075,0.232519,0,0.00440578,100000,295.646,145.202,5.24786,0.0649034,0,0.0285311,3606,1,0.02,0.25,0.02,0
0.00101584,0.0033135,1.17307,0,100000,1.92513,0,0.0033135,0.763746,0.232598,0,0.00365606,100000,296.051,118.326,4.85556,0.0503736,0,0.0223454,3736,1,0.022,0.25,0.022,0
0.000948728,0.00293471,1.17141,0,100000,1.59924,0,0.00293471,0.764379,0.232673,0,0.00294774,100000,296.431,92.1796,4.48287,0.0336606,0,0.016559,3866,1,0.024,0.25,0.024,0
0.000873169,0.00251032,1.16985,0,100000,1.26846,0,0.00251032,0.764965,0.232747,0,0.00228699,100000,296.784,67.8695,4.13406,0.0154692,0,0.0113572,3996,1,0.026,0.25,0.026,0
0.000788339,0.00204731,1.16841,0,100000,0.945666,0,0.00204731,0.765508,0.23281,0,0.00168157,100000,297.106,46.346,3.81421,-0.00338282,0,0.00689147,4126,1,0.028,0.25,0.028,0
0.000694974,0.0015563,1.16711,0,100000,0.641735,0,0.0015563,0.766009,0.232855,0,0.00113609,100000,297.396,28.0815,3.52662,-0.022108,0,0.00338755,4256,1,0.03,0.25,0.03,0
0.000591978,0.00104616,1.16604,0,100000,0.383889,0,0.00104616,0.766444,0.232869,0,0.000686721,100000,297.635,15.0781,3.29199,-0.0392006,0,0.00338755,4256,1,0.032,0.25,0.032,0
0.000486911,0.000621734,1.1653,0,100000,0.205474,0,0.000621734,0.766671,0.232957,0,0.000372641,100000,297.801,7.27202,3.13088,-0.05044,0,0.000994418,4386,1,0.034,0.25,0.034,0
0.000378445,0.000266429,1.16474,0,100000,0.0730028,0,0.000266429,0.766805,0.233058,0,0.000137285,100000,297.926,2.11163,3.01215,-0.058075,0,7.88986e-05,4516,1,0.036,0.25,0.036,0
0.000255546,0.000115415,1.16455,0,100000,0.030422,0,0.000115415,0.766858,0.233084,0,5.76184e-05,100000,297.969,0.853045,2.97584,-0.0578844,0,7.88986e-05,4516,1,0.038,0.25,0.038,0
0.000152447,2.23231e-05,1.16443,0,100000,0.00463399,0,2.23231e-05,0.766929,0.233062,0,9.20496e-06,100000,297.995,0.100926,2.95552,-0.056647,0,6.6083e-07,4646,1,0.04,0.25,0.04,0
7.61061e-05,7.50842e-06,1.1644,0,100000,0.00154061,0,7.50842e-06,0.767024,0.232973,0,3.02864e-06,100000,297.998,0.0332685,2.95681,-0.053995,0,6.6083e-07,4646,1,0.042,0.25,0.042,0
3.61565e-05,4.43947e-07,1.1644,0,100000,6.64475e-05,0,4.43947e-07,0.767043,0.232957,0,8.15398e-08,100000,298,0.00106023,2.9594,-0.0516175,0,1.79034e-09,4776,1,0.044,0.25,0.044,0
2.88305e-05,3.27353e-07,1.1644,0,100000,4.3887e-05,0,3.27353e-07,0.766995,0.233005,0,2.93447e-08,100000,298,0.000631319,2.96316,-0.0494859,0,1.79034e-09,4776,1,0.046,0.25,0.046,0
2.55524e-05,3.08603e-07,1.16441,0,100000,3.51307e-05,0,3.08603e-07,0.766981,0.233019,0,2.42332e-10,100000,298,0.000422702,2.96676,-0.0475333,0,3.94162e-12,4906,1,0.048,0.25,0.048,0
2.73525e-05,4.12605e-07,1.1644,0,100000,4.36926e-05,0,4.12605e-07,0.767009,0.232991,0,1.11289e-10,100000,298,0.000490462,2.97015,-0.0458051,0,3.94162e-12,4906,1,0.05,0.25,0.05,0
