"kappa","mut","rho","CO2","pd","k","H2O","alphat","N2","O2","dQ","aC3H6O","p","T","epsilon","U:0","U:1","U:2","mflux","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00569702,0.00408341,1.22686,0,100001,12.7371,0,0.00408341,0.744896,0.230231,0,0.0248733,100000,284.976,4389.64,17.2689,0,0,0.525728,58,1,0,0.1,0,0
0.00585046,0.00412699,1.22454,0,100001,13.247,0,0.00412699,0.746038,0.230315,0,0.0236476,100000,285.74,4689.8,16.7456,0.123126,0,0.475893,578,1,0.00166667,0.1,0.00166667,0
0.00605226,0.00422548,1.2187,0,100001,14.1008,0,0.00422548,0.748069,0.230557,0,0.0213731,100000,286.951,5165.67,15.3569,0.207731,0,0.390944,1098,1,0.00333333,0.1,0.00333333,0
0.00600472,0.00427096,1.21094,0,100001,14.2308,0,0.00427096,0.750688,0.230889,0,0.0184223,100000,288.479,5171.94,13.5109,0.241497,0,0.294664,1618,1,0.005,0.1,0.005,0
0.00569284,0.00417553,1.20264,0,100001,13.2797,0,0.00417553,0.753519,0.23125,0,0.0152309,100000,290.129,4575.76,11.5572,0.229168,0,0.212841,2008,1,0.00666667,0.1,0.00666667,0
0.00521599,0.00391977,1.1946,0,100000,11.4985,0,0.00391977,0.756294,0.231605,0,0.0121003,100000,291.745,3630.54,9.68192,0.183501,0,0.127943,2398,1,0.00833333,0.1,0.00833333,0
0.00464882,0.00350672,1.18722,0,100000,9.23268,0,0.00350672,0.758873,0.231938,0,0.00918914,100000,293.247,2602.32,7.97592,0.114921,0,0.0776042,2658,1,0.01,0.1,0.01,0
0.00403282,0.00295593,1.18066,0,100000,6.81089,0,0.00295593,0.7612,0.232233,0,0.00656631,100000,294.603,1674.85,6.47496,0.0333753,0,0.056072,2788,1,0.0116667,0.1,0.0116667,0
0.00338315,0.00229473,1.17504,0,100000,4.49797,0,0.00229473,0.7632,0.232496,0,0.00430282,100000,295.773,940.104,5.20203,-0.0513543,0,0.0231291,3048,1,0.0133333,0.1,0.0133333,0
0.00272166,0.0015651,1.17052,0,100000,2.54022,0,0.0015651,0.764841,0.232681,0,0.00247816,100000,296.716,441.679,4.1916,-0.128827,0,0.0124143,3178,1,0.015,0.1,0.015,0
0.00206662,0.000845947,1.16719,0,100000,1.10874,0,0.000845947,0.766071,0.232799,0,0.00113061,100000,297.412,156.569,3.45886,-0.1895,0,0.00529104,3308,1,0.0166667,0.1,0.0166667,0
0.00142988,0.000310586,1.16531,0,100000,0.329362,0,0.000310586,0.766561,0.233082,0,0.000356245,100000,297.813,37.6739,3.0489,-0.217778,0,0.0013463,3438,1,0.0183333,0.1,0.0183333,0
0.000774104,7.12027e-05,1.1646,0,100000,0.0626296,0,7.12027e-05,0.766771,0.233157,0,7.1768e-05,100000,297.962,5.87069,2.90714,-0.214789,0,0.000100026,3568,1,0.02,0.1,0.02,0
0.000302889,8.17777e-06,1.16442,0,100000,0.00560662,0,8.17777e-06,0.766954,0.23304,0,6.8562e-06,100000,297.996,0.40486,2.88271,-0.200496,0,1.00494e-06,3698,1,0.0216667,0.1,0.0216667,0
9.0841e-05,3.50942e-07,1.16439,0,100000,0.000152678,0,3.50942e-07,0.767026,0.232974,0,1.13713e-07,100000,298,0.0073754,2.88819,-0.185713,0,4.31828e-09,3828,1,0.0233333,0.1,0.0233333,0
5.9044e-05,2.17058e-07,1.1644,0,100000,6.78762e-05,0,2.17058e-07,0.766995,0.233005,0,6.89734e-10,100000,298,0.00222495,2.89629,-0.172857,0,1.53947e-11,3958,1,0.025,0.1,0.025,0
5.87817e-05,2.16668e-07,1.1644,0,100000,6.75133e-05,0,2.16668e-07,0.767002,0.232998,0,1.34375e-10,100000,298,0.00220535,2.90379,-0.16168,0,1.53947e-11,3958,1,0.0266667,0.1,0.0266667,0
5.87555e-05,2.16503e-07,1.1644,0,100000,6.74573e-05,0,2.16503e-07,0.767004,0.232996,0,1.46777e-12,100000,298,0.0022034,2.91068,-0.151927,0,4.58027e-14,4088,1,0.0283333,0.1,0.0283333,0
5.88031e-05,2.16416e-07,1.1644,0,100000,6.74984e-05,0,2.16416e-07,0.767003,0.232997,0,7.56577e-15,100000,298,0.00220696,2.91723,-0.142912,0,1.13386e-16,4218,1,0.03,0.1,0.03,0
5.88525e-05,2.16364e-07,1.1644,0,100000,6.75468e-05,0,2.16364e-07,0.767,0.233,0,2.62046e-15,100000,298,0.00221067,2.92318,-0.135119,0,1.13386e-16,4218,1,0.0316667,0.1,0.0316667,0
5.8901e-05,2.16325e-07,1.1644,0,100000,6.75963e-05,0,2.16325e-07,0.767001,0.232999,0,1.59247e-17,100000,298,0.00221431,2.92879,-0.127951,0,2.33002e-19,4348,1,0.0333333,0.1,0.0333333,0
5.89485e-05,2.163e-07,1.1644,0,100000,6.76469e-05,0,2.163e-07,0.767004,0.232996,0,4.70282e-18,100000,298,0.00221788,2.93402,-0.121475,0,2.33002e-19,4348,1,0.035,0.1,0.035,0
5.8994e-05,2.16287e-07,1.1644,0,100000,6.7697e-05,0,2.16287e-07,0.767002,0.232998,0,3.15764e-20,100000,298,0.0022213,2.93887,-0.115611,0,3.9675e-22,4478,1,0.0366667,0.1,0.0366667,0
5.90379e-05,2.16283e-07,1.1644,0,100000,6.77466e-05,0,2.16283e-07,0.766997,0.233003,0,1.04301e-20,100000,298,0.0022246,2.94345,-0.110183,0,3.9675e-22,4478,1,0.0383333,0.1,0.0383333,0
5.90807e-05,2.16301e-07,1.1644,0,100000,6.77988e-05,0,2.16301e-07,0.766997,0.233003,0,5.84785e-23,100000,298,0.00222783,2.94772,-0.10525,0,5.59069e-25,4608,1,0.04,0.1,0.04,0
5.91225e-05,2.16342e-07,1.1644,0,100000,6.78532e-05,0,2.16342e-07,0.767005,0.232995,0,2.54488e-23,100000,298,0.00223099,2.9517,-0.100791,0,5.59069e-25,4608,1,0.0416667,0.1,0.0416667,0
5.91678e-05,2.16457e-07,1.1644,0,100000,6.79235e-05,0,2.16457e-07,0.767008,0.232992,0,9.69726e-26,100000,298,0.00223443,2.95555,-0.0964936,0,6.51226e-28,4738,1,0.0433333,0.1,0.0433333,0
5.92249e-05,2.16816e-07,1.1644,0,100000,6.80459e-05,0,2.16816e-07,0.766999,0.233001,0,5.42662e-26,100000,298,0.00223878,2.959,-0.0927263,0,6.51226e-28,4738,1,0.045,0.1,0.045,0
