    Size     PDF      Umean   Urms      Vmean   Vrms       Wmean     Wrms
     um       %        m/s     m/s       m/s    m/s         m/s       m/s
  2.5   0.0695   1.7269   1.2373   1.4263  1.5401   1.1423  0.8966
  7.5   0.3209   1.7269   1.2373   1.2944  1.0823   1.4729  0.8942
 12.5   7.0929   1.7269   1.2373   1.3758  1.1563   1.7516  1.0177
 17.5  28.5094   1.9648   1.2833   1.5678  1.4684   1.6079  1.0120
 22.5  27.3792   2.4358   1.7566   2.2391  2.2869   1.2372  0.8839
 27.5  15.7918   3.5683   2.3622   3.3201  3.0464   0.9041  0.7014
 32.5   7.8860   5.2546   2.6350   4.7480  3.8140   0.6591  0.5165
 37.5   4.7976   6.8646   2.2949   5.7079  4.1357   0.5117  0.4181
 42.5   3.3124   7.7283   1.9076   7.4639  3.8943   0.4085  0.3738
 47.5   1.9730   8.2321   1.7058   8.7387  3.4202   0.3339  0.3101
 52.5   1.0257   8.9515   1.4025   9.4960  3.4202   0.2775  0.2662
 57.5   0.7088   9.1733   1.4522  10.7960  3.4202   0.2194  0.2723
 62.5   0.4781   9.1733   1.4522  10.6765  3.4202   0.1929  0.2838
 67.5   0.2065   9.1733   1.4522   7.1164  3.4202   0.1901  0.2809
 72.5   0.1014   9.1733   1.4522   6.1597  3.4202   0.2289  0.4523
 77.5   0.0891   9.1733   1.4522   3.2811  3.4202   0.2084  0.3043
 82.5   0.0764   9.1733   1.4522   1.5655  3.4202   0.2056  0.3043
 87.5   0.0613   9.1733   1.4522   1.6478  3.4202   0.2106  0.3043
 92.5   0.0273   9.1733   1.4522   2.7536  3.4202   0.1342  0.3043
 97.5   0.0659   9.1733   1.4522   0.6653  3.4202   0.1620  0.3043
102.5   0.0269   9.1733   1.4522   5.0663  3.4202   0.4326  0.3043
107.5   0.0000   9.1733   1.4522   0.0000  3.4202   0.2710  0.3043
112.5   0.0000   9.1733   1.4522   0.0000  3.4202   0.0000  0.3043
