    Size     PDF      Umean   Urms      Vmean   Vrms       Wmean     Wrms
     um       %        m/s     m/s       m/s    m/s         m/s       m/s
  2.5   0.2857   7.9361  2.6469  -0.0704  0.5270   0.4560   0.7006
  7.5   1.3800   7.9361  2.6469  -0.1214  0.5270   0.5923   0.7544
 12.5   9.0531   8.0901  2.0650  -0.1441  0.5447   0.4724   0.6965
 17.5  31.2383   9.7775  2.7295  -0.0643  0.5471   0.3611   0.7232
 22.5  31.2290  11.2773  3.3322  -0.0090  0.5827   0.1972   0.8235
 27.5  15.9441  12.9034  3.5477   0.1458  0.7020   0.1371   0.8496
 32.5   6.3544  14.1235  3.7334   0.2146  0.7486   0.1404   0.9635
 37.5   2.7957  15.2258  3.6044   0.2180  0.8031   0.1324   0.9859
 42.5   0.9477  15.9845  3.1674   0.3833  0.8684   0.2571   0.9281
 47.5   0.3331  15.9845  3.1674   0.4200  1.0055   0.2534   0.9184
 52.5   0.0806  15.9845  3.1674   0.3806  1.0055   0.5559   0.9184
 57.5   0.0363  15.9845  3.1674   0.5339  1.0055   0.2023   0.9184
 62.5   0.0090  15.9845  3.1674   0.7233  1.0055   0.0588   0.9184
 67.5   0.0346  15.9845  3.1674   0.7117  1.0055   1.2065   0.9184
 72.5   0.0143  15.9845  3.1674   0.3162  1.0055   0.3688   0.9184
 77.5   0.1006  15.9845  3.1674  -0.1755  1.0055   0.9435   0.9184
 82.5   0.0436  15.9845  3.1674   0.0821  1.0055   1.4800   0.9184
 87.5   0.0410  15.9845  3.1674  -0.3716  1.0055  -0.4692   0.9184
 92.5   0.0527  15.9845  3.1674   0.0135  1.0055   0.4838   0.9184
 97.5   0.0177  15.9845  3.1674   0.8915  1.0055  -0.2467   0.9184
102.5   0.0084  15.9845  3.1674   0.3828  1.0055   1.0403   0.9184
107.5   0.0000  15.9845  3.1674  -0.6741  1.0055   0.0000   0.9184
112.5   0.0000  15.9845  3.1674   0.0000  1.0055   0.0000   0.9184
