    Size     PDF      Umean   Urms      Vmean   Vrms       Wmean     Wrms
     um       %        m/s     m/s       m/s    m/s         m/s       m/s
  2.5   0.0339   1.9288   1.8181   5.1609  2.0696   0.8691  0.7951
  7.5   0.0747   1.9288   1.8181   2.2359  2.0696   1.2373  0.9033
 12.5   1.9356   1.9288   1.8181   1.8368  2.0696   1.4210  0.9938
 17.5  16.3292   2.3788   1.8161   2.0292  2.2228   1.2880  0.9127
 22.5  22.8295   3.7030   2.5474   3.0679  2.6568   0.9893  0.7193
 27.5  17.8686   5.5572   2.9220   4.7972  3.3896   0.7344  0.6157
 32.5  12.3525   7.3854   2.6405   6.7971  3.7282   0.5713  0.4346
 37.5   8.6930   8.6258   2.1921   8.3809  3.4789   0.4270  0.3655
 42.5   6.3869   9.6546   1.7181   9.6972  2.6369   0.3436  0.3204
 47.5   4.7231  10.0910   1.6885  10.4354  2.1859   0.2913  0.2840
 52.5   3.5622  10.4956   1.4581  10.9101  1.8341   0.2254  0.2712
 57.5   2.1037  10.9520   1.3400  11.0417  1.8168   0.2129  0.3283
 62.5   1.3895  11.2654   1.5751  11.1568  1.9107   0.1854  0.2519
 67.5   0.7293  11.1732   2.0461  11.3105  2.1529   0.1675  0.3364
 72.5   0.3807  11.1732   2.0461  11.3689  2.5197   0.1130  0.3181
 77.5   0.2424  11.1732   2.0461  10.9009  3.0073   0.1242  0.3953
 82.5   0.1816  11.1732   2.0461  10.0639  3.0073   0.2346  0.3617
 87.5   0.0975  11.1732   2.0461  10.3787  3.0073   0.1723  0.3993
 92.5   0.0588  11.1732   2.0461  10.7623  3.0073   0.1560  0.3993
 97.5   0.0102  11.1732   2.0461  10.2064  3.0073   0.1744  0.3993
102.5   0.0169  11.1732   2.0461  11.7900  3.0073   0.1818  0.3993
107.5   0.0000  11.1732   2.0461  11.1742  3.0073   0.1858  0.3993
112.5   0.0000  11.1732   2.0461   0.0000  3.0073   0.0000  0.3993
