    Size     PDF      Umean   Urms      Vmean   Vrms       Wmean     Wrms
     um       %        m/s     m/s       m/s    m/s         m/s       m/s
  2.5   0.3001   8.3467   3.4172   0.4480  0.6944  0.7496   0.7516
  7.5   1.4075   8.3467   3.4172   0.4865  0.5890  0.7423   0.7492
 12.5   6.9676   9.0461   2.7464   0.5262  0.6276  0.6603   0.6882
 17.5  23.2350  11.1457   2.8934   0.6611  0.6978  0.5589   0.6575
 22.5  27.9830  13.0908   3.0906   0.9774  0.8719  0.5155   0.6495
 27.5  17.9999  14.7846   3.0845   1.3105  1.0706  0.5866   0.6986
 32.5  11.6206  16.0741   2.6837   1.7119  1.2426  0.5362   0.7026
 37.5   5.8489  17.2608   2.1823   2.2406  1.4423  0.5808   0.7160
 42.5   2.6593  17.8785   2.5291   2.3396  1.5540  0.5875   0.6916
 47.5   0.9699  18.5358   2.4752   2.7714  1.5926  0.6393   0.7224
 52.5   0.4577  18.5358   2.4752   3.1787  1.5926  0.5975   0.6532
 57.5   0.1915  18.5358   2.4752   3.3301  1.5926  0.5922   0.6532
 62.5   0.1127  18.5358   2.4752   2.3071  1.5926  0.7020   0.6532
 67.5   0.0432  18.5358   2.4752   1.7252  1.5926  0.5435   0.6532
 72.5   0.0268  18.5358   2.4752   0.4248  1.5926  0.8864   0.6532
 77.5   0.0860  18.5358   2.4752   1.1617  1.5926  0.7070   0.6532
 82.5   0.0453  18.5358   2.4752   0.0000  1.5926  0.7748   0.6532
 87.5   0.0183  18.5358   2.4752   0.1983  1.5926  1.1917   0.6532
 92.5   0.0000  18.5358   2.4752  -0.4872  1.5926 -0.3607   0.6532
 97.5   0.0174  18.5358   2.4752   0.1037  1.5926  1.1807   0.6532
102.5   0.0092  18.5358   2.4752   0.0000  1.5926 -0.5885   0.6532
107.5   0.0000  18.5358   2.4752  -0.6919  1.5926  0.6340   0.6532
112.5   0.0000  18.5358   2.4752   0.0000  1.5926  0.0000   0.6532
