    Size     PDF      Umean   Urms      Vmean   Vrms       Wmean     Wrms
     um       %        m/s     m/s       m/s    m/s         m/s       m/s
  2.5   0.1032   8.2602   3.8045   4.5809  2.0395  0.9792   0.7325
  7.5   0.4141   8.2602   3.8045   4.0181  2.0395  1.0350   0.7749
 12.5   2.6620   8.2602   3.8045   4.1284  1.5086  0.9903   0.7444
 17.5  10.7428   9.8299   2.8987   4.8821  1.6769  0.7809   0.6063
 22.5  16.4898  12.2283   2.6194   5.6569  1.4610  0.5794   0.4999
 27.5  15.7529  14.0829   2.4692   6.3429  1.3492  0.4947   0.4447
 32.5  14.4324  15.3523   2.1291   6.7834  1.3216  0.4160   0.4097
 37.5  12.1894  16.4582   2.0803   7.3008  1.3626  0.3693   0.3827
 42.5   9.9340  17.1109   1.9964   7.6763  1.4464  0.2922   0.3701
 47.5   7.3630  17.5687   1.9764   7.9289  1.4851  0.3229   0.3904
 52.5   4.5109  17.7886   1.9674   8.2672  1.5610  0.2735   0.4024
 57.5   2.3321  18.0280   2.1365   8.4843  1.6627  0.2177   0.3349
 62.5   1.4604  17.9532   1.8873   8.5617  1.6992  0.2741   0.4973
 67.5   0.5850  17.9121   2.1020   8.4844  1.8331  0.2513   0.4260
 72.5   0.3302  17.9121   2.1020   8.9284  1.7900  0.4078   0.4718
 77.5   0.2915  17.9121   2.1020   8.1442  1.7900  0.1781   0.7354
 82.5   0.1844  17.9121   2.1020   8.2667  1.7900  0.1992   0.7354
 87.5   0.0929  17.9121   2.1020   8.6684  1.7900  0.2513   0.7354
 92.5   0.0451  17.9121   2.1020   8.1983  1.7900  0.5642   0.7354
 97.5   0.0251  17.9121   2.1020   7.1802  1.7900  0.4607   0.7354
102.5   0.0514  17.9121   2.1020   8.2915  1.7900  0.4447   0.7354
107.5   0.0075  17.9121   2.1020   7.3556  1.7900  0.5024   0.7354
112.5   0.0000  17.9121   2.1020   0.0000  1.7900  0.0000   0.7354
117.5   0.0000  17.9121   2.1020   0.0000  1.7900  0.0000   0.7354
