    Size     PDF      Umean   Urms      Vmean   Vrms       Wmean     Wrms
     um       %        m/s     m/s       m/s    m/s         m/s       m/s
  2.5   0.0497   7.4367   4.0749   8.5215  2.3964  1.0563   0.8069
  7.5   0.1845   7.4367   4.0749   7.3946  2.3964  1.1675   0.8008
 12.5   1.3229   7.4367   4.0749   6.8684  2.3964  1.0881   0.7270
 17.5   7.5887   7.5727   3.0094   7.0280  1.8431  0.8464   0.6282
 22.5  12.7177  10.1772   2.9482   7.5569  1.6646  0.6366   0.4964
 27.5  13.6555  12.1902   2.3945   8.1835  1.5034  0.4994   0.4249
 32.5  13.1002  13.7502   2.2536   8.6746  1.3173  0.3795   0.3676
 37.5  12.4096  14.6741   2.0192   9.1216  1.2742  0.3123   0.3506
 42.5  11.0073  15.5545   1.8705   9.5002  1.2317  0.2772   0.3243
 47.5   9.8967  15.9890   1.7880   9.7877  1.2418  0.2127   0.3559
 52.5   7.2192  16.3502   1.6836   9.9510  1.2126  0.2091   0.3139
 57.5   4.4611  16.6886   1.6095  10.0241  1.1779  0.1809   0.3102
 62.5   2.6526  16.9083   1.6332  10.0684  1.1370  0.1576   0.3958
 67.5   1.4676  16.8231   1.7583  10.2537  1.1071  0.1522   0.4020
 72.5   0.7921  17.1354   1.9757  10.3101  1.0753  0.2073   0.3988
 77.5   0.6368  16.9371   2.0038  10.2029  1.3716  0.2281   0.3733
 82.5   0.3185  16.9371   2.0038  10.4539  1.2095  0.1123   0.3553
 87.5   0.2224  16.9371   2.0038  10.2801  1.0444  0.2102   0.3553
 92.5   0.1298  16.9371   2.0038  10.0395  1.0444  0.2772   0.3553
 97.5   0.0599  16.9371   2.0038  10.4224  1.0444  0.6151   0.3553
102.5   0.0726  16.9371   2.0038  10.0406  1.0444  0.3048   0.3553
107.5   0.0348  16.9371   2.0038   9.4737  1.0444  0.1919   0.3553
112.5   0.0000  16.9371   2.0038   0.0000  1.0444  0.0000   0.3553
117.5   0.0000  16.9371   2.0038   0.0000  1.0444  0.0000   0.3553
