    Size     PDF      Umean   Urms      Vmean   Vrms       Wmean     Wrms
     um       %        m/s     m/s       m/s    m/s         m/s       m/s
  2.5   0.1694   8.7376   2.8700   1.9954  1.2903  1.1008   0.8343
  7.5   0.7619   8.7376   2.8700   1.9143  1.3544  1.0064   0.7893
 12.5   4.9942   8.7376   2.8700   2.1182  1.2944  0.8137   0.6889
 17.5  16.5592  11.1598   2.9218   2.6805  1.3350  0.6373   0.5911
 22.5  22.1810  13.4492   2.7384   3.2919  1.4068  0.5629   0.5465
 27.5  18.0772  15.0424   2.7277   3.9566  1.4159  0.4653   0.5108
 32.5  13.6677  16.3239   2.3138   4.4910  1.4494  0.4797   0.5146
 37.5  10.0363  17.2146   2.3084   5.0922  1.4506  0.4055   0.4748
 42.5   6.1092  17.8647   2.2400   5.4010  1.6182  0.3558   0.4763
 47.5   3.4109  18.6001   2.3113   5.7870  1.6462  0.4350   0.5113
 52.5   1.9634  18.9378   2.4216   6.1446  1.7647  0.3508   0.5106
 57.5   0.8675  19.0855   2.6636   6.0209  1.9262  0.3488   0.4719
 62.5   0.4315  19.0855   2.6636   6.2334  1.8425  0.4613   0.5358
 67.5   0.2168  19.0855   2.6636   6.3474  1.8425  0.5467   0.5358
 72.5   0.1578  19.0855   2.6636   5.2986  1.8425  0.3653   0.5358
 77.5   0.1900  19.0855   2.6636   5.2744  1.8425  0.5648   0.5358
 82.5   0.1229  19.0855   2.6636   6.2849  1.8425  0.6652   0.5358
 87.5   0.0486  19.0855   2.6636   3.0808  1.8425  0.3729   0.5358
 92.5   0.0264  19.0855   2.6636   4.2716  1.8425  0.2091   0.5358
 97.5   0.0082  19.0855   2.6636   7.6837  1.8425  0.8135   0.5358
102.5   0.0000  19.0855   2.6636   7.6427  1.8425  0.2670   0.5358
107.5   0.0000  19.0855   2.6636   0.0000  1.8425  0.9900   0.5358
