    Size     PDF      Umean   Urms      Vmean   Vrms       Wmean     Wrms
     um       %        m/s     m/s       m/s    m/s         m/s       m/s
  2.5   0.0343   3.4798   3.3391   5.8321  2.4500   0.7085  0.6904
  7.5   0.0705   3.4798   3.3391   3.2079  2.4500   1.1185  0.7506
 12.5   0.8045   3.4798   3.3391   3.3465  2.4888   1.1529  0.8923
 17.5   8.6582   3.8290   2.4952   4.5495  2.7443   0.9618  0.7028
 22.5  16.4306   5.8470   3.0161   6.4459  2.8374   0.7223  0.5262
 27.5  15.8321   8.1061   2.8330   7.8096  2.7825   0.5540  0.4630
 32.5  13.7785   9.6503   2.2646   9.0572  2.5453   0.4510  0.3934
 37.5  11.4727  10.6626   2.0634   9.8383  2.3036   0.3613  0.3315
 42.5   9.1041  11.5544   1.8468  10.4499  2.0835   0.3032  0.3045
 47.5   7.3950  11.8770   1.6946  10.8448  1.6954   0.2308  0.2707
 52.5   5.7255  12.4583   1.5884  11.2102  1.5313   0.1996  0.2726
 57.5   4.1260  12.8258   1.5207  11.4791  1.3778   0.1938  0.3037
 62.5   2.7590  13.2275   1.4034  11.7020  1.5191   0.1804  0.2635
 67.5   1.5758  13.4215   1.4563  11.7082  1.4592   0.1234  0.3072
 72.5   0.8461  13.3385   1.7020  11.7857  1.8073   0.1666  0.3316
 77.5   0.5908  13.1070   1.7084  11.8580  1.5677   0.2031  0.3419
 82.5   0.2894  13.1070   1.7084  12.2325  1.5677   0.1078  0.3321
 87.5   0.1604  13.1070   1.7084  11.0864  1.5677   0.2737  0.3451
 92.5   0.1666  13.1070   1.7084  12.0126  1.5677   0.0905  0.3451
 97.5   0.0904  13.1070   1.7084  12.4477  1.5677   0.2493  0.3451
102.5   0.0806  13.1070   1.7084  11.0197  1.5677   0.0807  0.3451
107.5   0.0090  13.1070   1.7084  11.1584  1.5677   0.2465  0.3451
112.5   0.0000  13.1070   1.7084   0.0000  1.5677   0.0000  0.3451
117.5   0.0000  13.1070   1.7084   0.0000  1.5677   0.0000  0.3451
