    Size     PDF      Umean   Urms      Vmean   Vrms       Wmean     Wrms
     um       %        m/s     m/s       m/s    m/s         m/s       m/s
  2.5   0.0846   5.8453   3.0117   9.4971  2.9643  0.8791   0.7081
  7.5   0.0949   5.8453   3.0117   8.2935  2.9643  0.9000   0.7854
 12.5   0.4226   5.8453   3.0117   7.0763  2.9643  1.0435   0.8201
 17.5   4.6628   5.8453   3.0117   7.0126  2.2785  0.7998   0.7045
 22.5  11.7576   7.8129   2.9410   7.7627  2.1126  0.5755   0.5383
 27.5  13.8897  10.0083   2.5476   8.7006  2.0036  0.4658   0.4247
 32.5  13.0181  11.6512   2.1967   9.4015  1.9320  0.3678   0.3539
 37.5  13.0903  12.7532   2.0296   9.9225  1.6178  0.2782   0.3308
 42.5  11.0647  13.3661   1.8041  10.3744  1.4584  0.2504   0.2914
 47.5   9.6590  14.0130   1.6629  10.6485  1.3645  0.1974   0.2824
 52.5   8.0658  14.4769   1.6890  10.9498  1.2277  0.1835   0.2863
 57.5   5.7759  14.8087   1.5420  11.1054  1.2954  0.1571   0.2868
 62.5   3.6648  15.1672   1.6268  11.2644  1.2510  0.1599   0.3014
 67.5   2.0863  15.1976   1.4811  11.4150  1.2166  0.1409   0.3261
 72.5   1.2784  15.5411   1.7438  11.5110  1.2487  0.1418   0.4134
 77.5   0.7396  15.0993   1.9292  11.5599  1.2406  0.1584   0.3856
 82.5   0.2205  15.0993   1.9292  11.8675  1.3188  0.1061   0.3781
 87.5   0.1811  15.0993   1.9292  11.7251  1.1647  0.1258   0.2657
 92.5   0.1268  15.0993   1.9292  11.1915  1.1647  0.0266   0.2657
 97.5   0.0692  15.0993   1.9292  11.4975  1.1647  0.0680   0.2657
102.5   0.0321  15.0993   1.9292  11.5092  1.1647  0.3245   0.2657
107.5   0.0151  15.0993   1.9292  11.8436  1.1647  0.5087   0.2657
112.5   0.0000  15.0993   1.9292   0.0000  1.1647  0.0000   0.2657
117.5   0.0000  15.0993   1.9292   0.0000  1.1647  0.0000   0.2657
