4.800000000000000000e+03 1.223237353513835697e+05
6.160000000000000000e+04 1.817907281758463942e+06
1.080000000000000000e+05 1.881598637550585903e+06
1.840000000000000000e+05 1.881598637550585903e+06
4.720000000000000000e+05 7.263797734376212582e+06
5.100000000000000000e+05 1.558569263387206756e+07
6.160000000000000000e+05 3.963007836309767514e+07
6.510000000000000000e+05 4.259449781742055714e+07
7.580000000000000000e+05 4.679983280758006126e+07
8.020000000000000000e+05 5.877949974534758925e+07
8.790000000000000000e+05 6.069031627355701476e+07
8.950000000000000000e+05 6.343421693525078893e+07
